ID,year,Field2,Field3,month,Field5,day,hour,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
1,2014,121,,5,,1,0,,-50.9,,608.6,,,,9.1,,223,,444.0,,444.0,
2,2014,121,,5,,1,3:00,,-52.6,,609.3,,,,8.9,,222,,,53.2,,444.0
3,2014,121,,5,,1,6:00,,-53.9,,610.2,,,,7.3,,226,,,52.0,,444.0
4,2014,121,,5,,1,9:00,,-54.8,,611.2,,,,6.6,,228,,444.0,,444.0,
5,2014,121,,5,,1,12:00,,-56.2,,612,,,,5.5,,237,,444.0,,444.0,
6,2014,121,,5,,1,15:00,,-57.1,,613,,,,4.6,,254,,,50.7,,444.0
7,2014,121,,5,,1,18:00,,-55.1,,613.5,,,,6.1,,241,,,51.0,,444.0
8,2014,121,,5,,1,21:00,,-53.1,,614,,,,7.1,,238,,,53.0,,444.0
9,2014,122,,5,,2,0,,-53.3,,614.3,,,,6,,244,,,53.0,,444.0
10,2014,122,,5,,2,300,,-52.6,,615,,,,6.2,,248,,,53.0,,444.0
11,2014,122,,5,,2,600,,-49.9,,615.9,,,,6,,251,,,54.4,,444.0
12,2014,122,,5,,2,900,,-48.2,,616.9,,,,6,,245,,,55.0,,444.0
13,2014,122,,5,,2,1200,,-47.5,,617.7,,,,6.8,,237,,,56.0,,444.0
14,2014,122,,5,,2,1500,,-49.1,,618.7,,,,6.4,,236,,,55.3,,444.0
15,2014,122,,5,,2,1800,,-51,,619.8,,,,4.8,,248,,,53.0,,444.0
16,2014,122,,5,,2,2100,,-50.3,,620.8,,,,6,,243,,,54.0,,444.0
17,2014,123,,5,,3,0,,-52.7,,621.7,,,,5.8,,261,,,53.0,,444.0
18,2014,123,,5,,3,300,,-55.7,,621.7,,,,6.8,,255,,,52.0,,444.0
19,2014,123,,5,,3,600,,-56.3,,622.6,,,,4.9,,250,,,51.5,,444.0
20,2014,123,,5,,3,900,,-55,,622.9,,,,5,,242,,,52.0,,444.0
21,2014,123,,5,,3,1200,,-51,,623.4,,,,4.3,,216,,444.0,,444.0,
22,2014,123,,5,,3,1500,,-54,,623.7,,,,5,,224,,444.0,,444.0,
23,2014,123,,5,,3,1800,,-55.1,,623.8,,,,4.1,,218,,444.0,,444.0,
24,2014,123,,5,,3,2100,,-53.9,,624.3,,,,3.8,,211,,444.0,,444.0,
25,2014,124,,5,,4,0,,-55.6,,624.8,,,,2.9,,234,,444.0,,444.0,
26,2014,124,,5,,4,300,,-58.9,,624.8,,,,3.2,,261,,444.0,,444.0,
27,2014,124,,5,,4,600,,-61.2,,625,,,,3.8,,260,,444.0,,444.0,
28,2014,124,,5,,4,900,,-62,,625.2,,,,4.5,,245,,444.0,,444.0,
29,2014,124,,5,,4,1200,,-61,,625.5,,,,4,,255,,444.0,,444.0,
30,2014,124,,5,,4,1500,,-62.6,,625.1,,,,5.1,,253,,444.0,,444.0,
31,2014,124,,5,,4,1800,,-63,,625.4,,,,4.5,,271,,444.0,,444.0,
32,2014,124,,5,,4,2100,,-62.6,,625.2,,,,4.8,,255,,444.0,,444.0,
33,2014,125,,5,,5,0,,-63.5,,625.2,,,,4.6,,278,,,46.0,,444.0
34,2014,125,,5,,5,300,,-63.5,,625,,,,4.9,,281,,,46.0,,444.0
35,2014,125,,5,,5,600,,-64.4,,625.2,,,,4.5,,287,,444.0,,444.0,
36,2014,125,,5,,5,900,,-65.1,,625.1,,,,4.7,,293,,444.0,,444.0,
37,2014,125,,5,,5,1200,,-65.9,,625,,,,4.6,,299,,,44.0,,444.0
38,2014,125,,5,,5,1500,,-67.5,,624.3,,,,4.3,,301,,444.0,,444.0,
39,2014,125,,5,,5,1800,,-67.1,,623.7,,,,5,,305,,,43.0,,444.0
40,2014,125,,5,,5,2100,,-67.6,,623,,,,6,,303,,,42.8,,444.0
41,2014,126,,5,,6,0,,-67.4,,622.4,,,,6.1,,293,,,43.0,,444.0
42,2014,126,,5,,6,300,,-66.5,,621.6,,,,6.5,,293,,,44.0,,444.0
43,2014,126,,5,,6,600,,-67,,620.8,,,,5.7,,292,,,43.0,,444.0
44,2014,126,,5,,6,900,,-66.8,,620.4,,,,5.5,,288,,,43.0,,444.0
