ID,year,Field2,month,day,hour,Field6,Field7,Field8,Field9,Field10,Field11
1,2014,121,5,1,0,-50.9,608.6,9.1,223,444,444
2,2014,121,5,1,300,-52.6,609.3,8.9,222,53.2,444
3,2014,121,5,1,600,-53.9,610.2,7.3,226,52,444
4,2014,121,5,1,900,-54.8,611.2,6.6,228,444,444
5,2014,121,5,1,1200,-56.2,612,5.5,237,444,444
6,2014,121,5,1,1500,-57.1,613,4.6,254,50.7,444
7,2014,121,5,1,1800,-55.1,613.5,6.1,241,51,444
8,2014,121,5,1,2100,-53.1,614,7.1,238,53,444
9,2014,122,5,2,0,-53.3,614.3,6,244,53,444
10,2014,122,5,2,300,-52.6,615,6.2,248,53,444
11,2014,122,5,2,600,-49.9,615.9,6,251,54.4,444
12,2014,122,5,2,900,-48.2,616.9,6,245,55,444
13,2014,122,5,2,1200,-47.5,617.7,6.8,237,56,444
14,2014,122,5,2,1500,-49.1,618.7,6.4,236,55.3,444
15,2014,122,5,2,1800,-51,619.8,4.8,248,53,444
16,2014,122,5,2,2100,-50.3,620.8,6,243,54,444
17,2014,123,5,3,0,-52.7,621.7,5.8,261,53,444
18,2014,123,5,3,300,-55.7,621.7,6.8,255,52,444
19,2014,123,5,3,600,-56.3,622.6,4.9,250,51.5,444
20,2014,123,5,3,900,-55,622.9,5,242,52,444
21,2014,123,5,3,1200,-51,623.4,4.3,216,444,444
22,2014,123,5,3,1500,-54,623.7,5,224,444,444
23,2014,123,5,3,1800,-55.1,623.8,4.1,218,444,444
24,2014,123,5,3,2100,-53.9,624.3,3.8,211,444,444
25,2014,124,5,4,0,-55.6,624.8,2.9,234,444,444
26,2014,124,5,4,300,-58.9,624.8,3.2,261,444,444
27,2014,124,5,4,600,-61.2,625,3.8,260,444,444
28,2014,124,5,4,900,-62,625.2,4.5,245,444,444
29,2014,124,5,4,1200,-61,625.5,4,255,444,444
30,2014,124,5,4,1500,-62.6,625.1,5.1,253,444,444
31,2014,124,5,4,1800,-63,625.4,4.5,271,444,444
32,2014,124,5,4,2100,-62.6,625.2,4.8,255,444,444
33,2014,125,5,5,0,-63.5,625.2,4.6,278,46,444
34,2014,125,5,5,300,-63.5,625,4.9,281,46,444
35,2014,125,5,5,600,-64.4,625.2,4.5,287,444,444
36,2014,125,5,5,900,-65.1,625.1,4.7,293,444,444
37,2014,125,5,5,1200,-65.9,625,4.6,299,44,444
38,2014,125,5,5,1500,-67.5,624.3,4.3,301,444,444
39,2014,125,5,5,1800,-67.1,623.7,5,305,43,444
40,2014,125,5,5,2100,-67.6,623,6,303,42.8,444
41,2014,126,5,6,0,-67.4,622.4,6.1,293,43,444
42,2014,126,5,6,300,-66.5,621.6,6.5,293,44,444
43,2014,126,5,6,600,-67,620.8,5.7,292,43,444
44,2014,126,5,6,900,-66.8,620.4,5.5,288,43,444
45,2014,126,5,6,1200,-66.5,619.5,6.8,285,44,444
46,2014,126,5,6,1500,-67,618.6,5.8,287,43,444
47,2014,126,5,6,1800,-67,618.2,5.8,289,43,444
48,2014,126,5,6,2100,-67.6,617.7,5.9,284,43,444
49,2014,127,5,7,0,-67.9,617.7,5.2,289,42.2,444
50,2014,127,5,7,300,-68.5,617.3,4.7,287,42,444
51,2014,127,5,7,600,-68.6,617.4,4.8,291,42,444
52,2014,127,5,7,900,-68.4,617.6,4.7,293,41.7,444
53,2014,127,5,7,1200,-68.8,618,4.5,298,41,444
54,2014,127,5,7,1500,-69.3,618.3,4.1,300,41,444
55,2014,127,5,7,1800,-68.6,619,4,305,42,444
56,2014,127,5,7,2100,-68.4,619.6,3.7,304,444,444
57,2014,128,5,8,0,-65.2,620.1,2.4,326,444,444
58,2014,128,5,8,300,-64.8,620.4,5.5,349,444,444
59,2014,128,5,8,600,-64.8,620.8,7.2,337,444,444
60,2014,128,5,8,900,-63,621.6,6.8,345,444,444
61,2014,128,5,8,1200,-59.8,622.3,7.4,348,444,444
62,2014,128,5,8,1500,-56.8,623.4,7.9,343,444,444
63,2014,128,5,8,1800,-56.9,624.6,8,339,444,444
64,2014,128,5,8,2100,-56.2,625.4,9.4,327,444,444
65,2014,129,5,9,0,-55.8,626.3,9.2,324,51,444
66,2014,129,5,9,300,-56.9,627.3,8.6,322,50.5,444
67,2014,129,5,9,600,-56.3,628.3,8.4,315,51,444
68,2014,129,5,9,900,-57.1,629.4,7.5,305,50,444
69,2014,129,5,9,1200,-56.7,630.4,7.7,310,50.7,444
70,2014,129,5,9,1500,-57.1,631.2,8.1,305,51,444
71,2014,129,5,9,1800,-58,632,7.9,303,50,444
72,2014,129,5,9,2100,-58.5,632.4,6.8,300,50,444
73,2014,130,5,10,0,-59.2,632.5,7.1,295,49.3,444
74,2014,130,5,10,300,-59.7,632,6.9,298,49,444
75,2014,130,5,10,600,-60.3,631.7,6.5,297,48,444
76,2014,130,5,10,900,-62,631.3,5.1,295,47,444
77,2014,130,5,10,1200,-63.1,630.9,4.5,292,46,444
78,2014,130,5,10,1500,-64.8,630.4,5.4,273,45,444
79,2014,130,5,10,1800,-65.4,630.5,4.9,274,44.6,444
80,2014,130,5,10,2100,-65.6,629.7,4.8,279,44,444
81,2014,131,5,11,0,-66,629.7,5.3,284,44,444
82,2014,131,5,11,300,-65.3,629.5,5.7,273,44.3,444
